Date : 2024-11-21 10:17:36
Directory : c:\Users\wanja\Documents\Programmieren\Unity\GameOff2024\Assets\Scripts
Total : 95 files,  -16148 codes, -3008 comments, -3776 blanks, all -22932 lines

Languages
+-----------+------------+------------+------------+------------+------------+
| language  | files      | code       | comment    | blank      | total      |
+-----------+------------+------------+------------+------------+------------+
| Markdown  |          1 |        -82 |          0 |        -31 |       -113 |
| Slang     |          1 |       -130 |        -18 |        -31 |       -179 |
| JSON      |          3 |       -176 |          0 |         -3 |       -179 |
| HLSL      |          4 |       -346 |          0 |        -86 |       -432 |
| ShaderLab |         16 |     -2,780 |          0 |       -713 |     -3,493 |
| C#        |         70 |    -12,634 |     -2,990 |     -2,912 |    -18,536 |
+-----------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                               | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                  |         95 |    -16,148 |     -3,008 |     -3,776 |    -22,932 |
| ..                                                                                                                                 |         95 |    -16,148 |     -3,008 |     -3,776 |    -22,932 |
| ..\Graphy - Ultimate Stats Monitor                                                                                                 |         32 |     -4,950 |       -706 |     -1,493 |     -7,149 |
| ..\Graphy - Ultimate Stats Monitor (Files)                                                                                         |          2 |       -102 |          0 |        -32 |       -134 |
| ..\Graphy - Ultimate Stats Monitor\Editor                                                                                          |          4 |     -1,217 |        -61 |       -357 |     -1,635 |
| ..\Graphy - Ultimate Stats Monitor\Runtime                                                                                         |         24 |     -3,328 |       -645 |     -1,030 |     -5,003 |
| ..\Graphy - Ultimate Stats Monitor\Runtime (Files)                                                                                 |          2 |     -1,239 |       -132 |       -268 |     -1,639 |
| ..\Graphy - Ultimate Stats Monitor\Runtime\Advanced                                                                                |          1 |       -286 |        -19 |        -93 |       -398 |
| ..\Graphy - Ultimate Stats Monitor\Runtime\Audio                                                                                   |          4 |       -529 |       -109 |       -196 |       -834 |
| ..\Graphy - Ultimate Stats Monitor\Runtime\Fps                                                                                     |          4 |       -477 |        -82 |       -198 |       -757 |
| ..\Graphy - Ultimate Stats Monitor\Runtime\Graph                                                                                   |          1 |        -11 |        -18 |         -5 |        -34 |
| ..\Graphy - Ultimate Stats Monitor\Runtime\Ram                                                                                     |          4 |       -412 |        -63 |       -157 |       -632 |
| ..\Graphy - Ultimate Stats Monitor\Runtime\Shader                                                                                  |          1 |        -58 |        -41 |        -22 |       -121 |
| ..\Graphy - Ultimate Stats Monitor\Runtime\UI                                                                                      |          3 |        -85 |        -40 |        -18 |       -143 |
| ..\Graphy - Ultimate Stats Monitor\Runtime\Util                                                                                    |          4 |       -231 |       -141 |        -73 |       -445 |
| ..\Graphy - Ultimate Stats Monitor\Shaders                                                                                         |          2 |       -303 |          0 |        -74 |       -377 |
| ..\LeanTween                                                                                                                       |          9 |     -4,771 |     -2,174 |       -950 |     -7,895 |
| ..\LeanTween\Editor                                                                                                                |          1 |        -48 |         -2 |         -9 |        -59 |
